Country,Infection_Risk,Case_Fatality_Rate,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,NewRecovered,ActiveCases
Algeria,0.59,2.59,67.11,265691,7,6874,0,5,80512
Nigeria,0.12,1.23,97.71,255468,0,3142,0,0,2714
Zimbabwe,1.62,2.21,96.79,246481,0,5446,0,0,2454
Uzbekistan,0.69,0.69,99.08,237853,25,1637,0,29,542
Montenegro,37.14,1.16,98.59,233326,61,2705,0,50,591
Mozambique,0.69,0.98,98.99,225266,2,2200,0,0,68
Luxembourg,33.7,0.48,90.55,216979,0,1037,0,0,19473
Kyrgyzstan,2.99,1.49,97.65,200968,13,2991,1,10,1734
Laos,2.46,0.37,4.17,183560,1593,679,6,0,175221
Iceland,52.69,0.06,41.62,181830,0,101,0,0,106044
Afghanistan,0.44,4.31,90.56,177827,32,7671,0,0,9123
Maldives,31.77,0.17,92.48,176993,0,298,0,0,13008
Uganda,0.34,2.19,61.11,163936,4,3595,0,2,60158
"El Salvador",2.46,2.56,87.64,161052,0,4119,0,0,15788
Ghana,0.5,0.9,99.07,160971,0,1445,0,0,58
Namibia,6.01,2.55,97.1,157646,0,4019,0,0,558
Martinique,37.74,0.64,0.07,141415,0,909,0,0,140402
Brunei,30.57,0.16,97.07,135974,544,213,0,887,3777
Cambodia,0.79,2.25,97.29,135747,33,3054,0,128,625
Guadeloupe,32.66,0.64,1.72,130705,0,843,0,0,127612
Rwanda,0.96,1.12,35.09,129728,2,1458,0,0,82748
Jamaica,4.32,2.25,63.1,128811,0,2893,0,0,44636
Cameroon,0.43,1.61,98.25,119544,0,1927,0,0,162
Angola,0.29,1.92,97.94,99194,0,1900,0,0,145
Senegal,0.49,2.29,97.67,85919,8,1965,0,4,40
Malawi,0.43,3.07,94.17,85664,7,2626,0,6,2366
Malta,18.39,0.79,90.26,81596,607,641,2,190,7306
Suriname,13.3,1.67,62.33,79229,0,1325,0,0,28521
"French Guiana",25.33,0.5,14.23,79075,0,394,0,0,67427
"French Polynesia",25.49,0.89,0.0,72318,0,646,0,0,0
Eswatini,5.91,2.0,97.85,69851,13,1394,0,23,108
Fiji,7.1,1.29,97.19,64417,0,834,0,0,978
Madagascar,0.22,2.17,92.6,64050,0,1388,0,0,3349
Guyana,7.98,1.94,97.94,63267,0,1226,0,0,79
Sudan,0.14,7.92,0.0,61955,0,4907,0,0,0
"New Caledonia",20.77,0.52,99.06,60294,0,311,0,0,256
Barbados,20.74,0.63,97.24,59734,0,375,0,0,1275
Mauritania,1.21,1.67,98.31,58670,0,982,0,0,8
Belize,13.96,1.15,98.42,57289,0,656,0,0,250
Syria,0.31,5.64,92.83,55706,0,3144,0,0,849
Gabon,2.05,0.64,99.33,47586,0,303,0,0,17
"Papua New Guinea",0.46,1.52,94.55,42203,0,640,0,0,1658
Curaçao,24.61,0.66,98.0,40671,0,267,0,0,546
Seychelles,40.66,0.41,98.44,40421,0,164,0,0,467
Andorra,51.66,0.38,98.15,40024,0,153,0,0,588
Burundi,0.31,0.1,2.01,38519,0,38,0,0,37708
Togo,0.43,0.74,99.05,36944,1,272,0,1,80
Mayotte,12.98,0.51,8.03,36891,0,187,0,0,33740
Mauritius,2.86,2.65,93.0,36481,0,968,0,0,1586
Guinea,0.27,1.21,98.68,36459,0,440,0,0,43
Aruba,31.66,0.62,99.12,34051,0,212,0,0,87
Tanzania,0.05,2.37,0.0,33815,0,800,0,0,0
Bahamas,8.33,2.37,96.72,33295,0,788,0,0,305
Lesotho,1.52,2.12,73.4,32910,0,697,0,0,8058
Bhutan,4.0,0.04,79.76,31437,1384,12,0,328,6351
Haiti,0.26,2.73,93.77,30549,0,833,0,0,1071
Mali,0.14,2.39,97.2,30495,2,728,0,2,126
"Isle of Man",33.11,0.3,94.29,28416,0,84,0,0,1538
Benin,0.21,0.6,94.63,26952,0,163,0,0,1283
Somalia,0.16,5.11,49.93,26400,0,1348,0,0,11870
Taiwan,0.1,3.51,84.36,24312,280,853,0,75,2949
Timor-Leste,1.68,0.57,99.37,22832,0,130,0,0,14
"Burkina Faso",0.1,1.83,98.01,20853,0,382,0,0,32
"Cayman Islands",30.72,0.12,41.51,20606,0,24,0,0,12029
Nicaragua,0.27,1.22,22.92,18434,0,224,0,0,13985
Tajikistan,0.18,0.71,99.29,17388,0,124,0,0,0
"South Sudan",0.15,0.8,78.22,17278,0,138,0,0,3626
Gibraltar,50.42,0.59,96.35,16979,0,101,0,0,519
Liechtenstein,42.87,0.51,98.6,16429,0,84,0,0,146
"Equatorial Guinea",1.07,1.15,98.68,15903,0,183,0,0,27
Djibouti,1.54,1.21,98.76,15590,2,189,0,5,5
"San Marino",44.58,0.74,97.1,15181,0,113,0,0,328
Grenada,12.35,1.56,98.02,14012,0,218,0,0,59
Bermuda,20.31,1.02,97.09,12564,0,128,0,0,238
Gambia,0.47,3.04,96.69,11988,0,365,0,0,32
Greenland,21.02,0.18,23.06,11971,0,21,0,0,9189
