id,rank,Country,Continent,Infection_Risk,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,TotalTests,Population,one_Caseevery_X_ppl,one_Deathevery_X_ppl,one_Testevery_X_ppl,Deaths_1M_pop,Serious_Critical,Tests_1M_Pop,TotCases_1M_Pop
"3648e894-a54c-41c8-8abf-4994e7b2b79c",28,Austria,Europe,40.66,0.42,1907.67,87.95,3698511,0,15665,0,3252752,0,430094,173506959,9095239,2,581,0,1722.0,238,19076679,406643
"f0e6ea86-a22d-405c-a0c7-63dbb2a2c03f",29,Philippines,Asia,3.28,1.6,25.74,97.23,3676991,330,59015,131,3575141,846,42835,28851194,112101986,30,1900,4,526.0,289,257366,32800
"c5905947-ac1b-4bbb-8985-e794bb6ab6c3",30,Peru,"South America",10.5,5.98,84.44,0.0,3544862,0,212102,0,3332760,0,0,28511805,33765703,10,159,1,6282.0,495,844401,104984
"9fb86a08-d197-4fcb-b08a-bebbe5f6c642",31,Portugal,Europe,34.83,0.61,391.65,0.0,3534003,0,21545,0,3512458,0,0,39734174,10145309,3,471,0,2124.0,64,3916507,348339
"b012c316-0e20-4bfe-9ce2-edf9dcca2f0b",32,Thailand,Asia,5.03,0.7,24.64,92.16,3529085,25821,24802,84,3252350,24066,251933,17270775,70102784,20,2826,4,354.0,1496,246364,50342
"4a532c8d-46b7-45ea-b6a4-eb4966239356",33,Chile,"South America",17.78,1.63,181.74,84.97,3450094,7076,56381,83,2931593,31077,462120,35257498,19399868,6,344,1,2906.0,670,1817409,177841
"e25f14b6-e3e8-4944-bef8-81d695a18188",34,Canada,"North America",8.98,1.09,154.46,94.94,3441488,2215,37424,4,3267279,1638,136785,59181662,38314210,11,1024,1,977.0,409,1544640,89823
"1653a805-d080-4261-8e3f-dd2c7fef64bf",35,Switzerland,Europe,38.84,0.4,233.83,80.16,3403549,0,13646,0,2728386,17542,661517,20493186,8764039,3,642,0,1557.0,150,2338327,388354
"311c2c2c-2484-42eb-a30b-e163a001a74e",36,Greece,Europe,28.35,0.93,705.74,90.7,2930321,13429,27268,52,2657700,26564,245353,72938059,10335038,4,379,0,2638.0,342,7057358,283533
"9aa3efef-70e8-4d44-bb06-5113e05a298a",37,Denmark,Europe,49.71,0.19,2174.39,96.8,2896593,3195,5585,2,2803867,6271,87141,126711987,5827466,2,1043,0,958.0,25,21743926,497059
"4a525969-421a-4975-ae32-bfca080f31ec",38,Romania,Europe,14.94,2.28,115.53,91.76,2840788,1939,64905,8,2606660,0,169223,21969296,19015838,7,293,1,3413.0,394,1155316,149391
"1846091c-6ef4-4641-8231-afcf4a6a77b6",39,Sweden,Europe,24.31,0.73,180.08,97.65,2481736,0,18155,0,2423315,3353,40266,18382831,10208133,4,562,1,1778.0,32,1800802,243114
"7d322f05-e02b-40f5-bd69-577adea222a3",40,Iraq,Asia,5.55,1.08,43.78,98.34,2317977,230,25150,1,2279609,883,13218,18294182,41781848,18,1661,2,602.0,56,437850,55478
"cc09f3b8-9fd0-44ca-859c-ad9524bf9f28",41,Serbia,Europe,22.69,0.8,105.21,97.36,1969044,1273,15758,12,1917068,2368,36218,9128244,8676527,4,551,1,1816.0,38,1052062,226939
"c41513ff-6514-470a-b9f1-ff13a051cad2",42,Bangladesh,Asia,1.16,1.49,8.23,96.23,1951282,43,29118,0,1877804,673,44360,13787954,167525666,86,5753,12,174.0,1264,82304,11648
"d1e5413c-287a-449f-bd0d-6bfc56d0b365",43,Hungary,Europe,19.12,2.46,114.92,92.06,1839358,0,45258,0,1693393,0,100707,11053112,9617943,5,213,1,4706.0,70,1149218,191242
"802162af-bec2-4b62-849e-4ecbf1d9c380",44,Jordan,Asia,16.28,0.83,159.71,98.79,1689314,0,14003,0,1668852,0,6459,16575546,10378229,6,741,1,1349.0,276,1597146,162775
"785cd61b-3f21-4b2c-958a-ea07ecdad12c",45,Slovakia,Europe,30.88,1.14,124.89,92.08,1687425,5560,19270,19,1553860,7605,114295,6824373,5464214,3,284,1,3527.0,176,1248921,308814
"81672076-33c2-48e4-81d2-db6ce456cc78",46,Georgia,Asia,41.41,1.01,410.34,98.3,1646316,357,16708,4,1618403,3237,11205,16314971,3975929,2,238,0,4202.0,0,4103436,414071
"935ff8a6-77f1-4114-9403-9cbb7fa9cb99",47,Pakistan,Asia,0.67,1.99,11.98,97.47,1523900,310,30345,5,1485316,231,8239,27360248,228303614,150,7524,8,133.0,428,119842,6675
"aed73591-ee4f-4d22-a0f3-3d025d0b7821",48,Ireland,Europe,28.27,0.47,232.95,90.34,1422945,0,6710,0,1285502,8033,130733,11724746,5033128,4,750,0,1333.0,52,2329515,282716
"4d14f059-2c26-4982-8132-fcc9a3e1deb3",49,Norway,Europe,25.42,0.17,179.31,0.0,1396911,0,2339,0,1394572,0,0,9852076,5494524,4,2349,1,426.0,20,1793072,254237
"d1fc1231-ca5a-4f3c-b4cb-4770cdf15a98",50,Kazakhstan,Asia,6.81,1.05,60.4,98.62,1305040,23,13658,0,1287000,229,4382,11575012,19164925,15,1403,2,713.0,528,603969,68095
"75159d96-aba5-49fc-96a1-34fa22ef4770",51,Morocco,Africa,3.09,1.38,29.83,98.57,1162974,51,16057,0,1146288,49,629,11237010,37666782,32,2346,3,426.0,293,298327,30875
"a2f0283a-7995-4463-889c-5bfef1e7796d",52,Bulgaria,Europe,16.52,3.21,139.19,80.07,1133102,0,36429,0,907251,0,189422,9545600,6858023,6,188,1,5312.0,241,1391888,165223
"5de37feb-3a9b-42d2-8c09-345c543829a7",53,"Hong Kong",Asia,14.84,0.64,476.98,0.0,1128507,8037,7252,151,1121255,0,0,36260319,7602127,7,1048,0,954.0,115,4769760,148446
"28cc8b8a-2bf8-43a0-935a-02226843eecb",54,Croatia,Europe,26.94,1.42,114.7,97.65,1094059,961,15520,11,1068334,1753,10205,4658673,4061501,4,262,1,3821.0,40,1147032,269373
"49bd08ef-9b3b-49c0-b8e6-fa7816ff0700",55,Lebanon,Asia,16.1,0.94,70.81,96.25,1090498,0,10278,0,1049584,0,30636,4795578,6772604,6,659,1,1518.0,186,708085,161016
"e3509c74-070d-4629-b48e-478afa585c60",56,Cuba,"North America",9.61,0.78,114.19,98.86,1087183,822,8509,0,1074743,730,3931,12920253,11314664,10,1330,1,752.0,23,1141903,96086
"f7c6cb29-752b-4f13-b419-813680ad7e12",57,Singapore,Asia,18.0,0.12,395.92,94.59,1067157,0,1246,0,1009408,0,56503,23477384,5929883,6,4759,0,210.0,24,3959165,179963
"eea4bad6-f826-4771-b1e4-d43b3124a0de",58,Tunisia,Africa,8.59,2.72,37.4,0.0,1033731,0,28165,0,1005566,0,0,4500701,12032390,12,427,3,2341.0,63,374049,85912
"1fe0506d-1912-462f-880b-04c8ebeae16c",59,Lithuania,Europe,38.21,0.87,302.38,92.51,1015010,1994,8818,1,939006,1274,67186,8033158,2656635,3,301,0,3319.0,58,3023809,382066
"6743d550-56b6-4a61-9ef4-67cd895e11ef",60,Nepal,Asia,3.26,1.22,18.41,98.62,978332,15,11951,0,964823,215,1558,5529353,30042398,31,2514,5,398.0,100,184052,32565
"885c537d-9654-4502-8a5d-81bd424a659c",61,Belarus,Europe,10.16,0.71,135.71,96.8,959276,784,6785,7,928536,0,23955,12815911,9443949,10,1392,1,718.0,0,1357050,101576
"b9e72506-ad28-4266-8ab3-57bbb16ae65d",62,Slovenia,Europe,46.01,0.68,125.47,95.28,956742,1250,6475,4,911616,1136,38651,2609024,2079432,2,321,1,3114.0,52,1254681,460098
"5b87d5fe-3ba9-42e8-bb88-09ae079e1fcb",63,Bolivia,"South America",7.54,2.38,22.45,92.06,901292,184,21487,0,829710,1963,50095,2682016,11948233,13,556,4,1798.0,220,224470,75433
"5d7de038-91f5-4150-b3f0-ecb490d78997",64,UAE,Asia,8.81,0.26,1452.45,96.9,889797,0,2302,0,862229,0,25266,146653110,10096955,11,4386,0,228.0,0,14524489,88125
"6a4f1e2a-ae9b-4d53-8966-3364c7e486ec",65,Uruguay,"South America",25.28,0.81,170.54,98.22,883354,0,7150,0,867607,0,8597,5959510,3494543,4,489,1,2046.0,40,1705376,252781
"f86d0349-d502-4895-bf64-3364728f10c0",66,Ecuador,"South America",4.73,4.13,13.64,0.0,857299,0,35418,0,821881,0,0,2470170,18106074,21,511,7,1956.0,759,136428,47349
"dc7c0e8c-ad34-446d-a695-59fe62ef8c2d",67,Finland,Europe,15.2,0.35,185.96,5.45,844713,0,2985,0,46000,0,795728,10331340,5555601,7,1861,1,537.0,32,1859626,152047
"bb6306c0-534b-4377-9027-c92d4338c384",68,"Costa Rica","North America",16.13,0.99,75.64,94.95,834726,0,8266,0,792603,0,33857,3913872,5174531,6,626,1,1597.0,73,756372,161314
"c2273b77-1484-454b-a2a4-42478d4847df",69,Guatemala,"North America",4.45,2.1,22.67,96.26,823145,0,17274,0,792328,0,13543,4191788,18488239,22,1070,4,934.0,5,226727,44523
"0945c7b4-d129-4deb-9c5e-803aa859e387",70,Azerbaijan,Asia,7.69,1.22,64.89,98.73,791695,0,9679,0,781641,0,375,6681983,10297160,13,1064,2,940.0,0,648915,76885
"681d9074-d938-4db5-935b-c3468192b7a5",71,Latvia,Europe,42.73,0.71,379.82,93.21,790620,1137,5575,3,736915,2725,48130,7027307,1850151,2,332,0,3013.0,31,3798234,427327
"21d1365d-9bc7-4624-a17d-c30d5b86a35f",72,Panama,"North America",17.22,1.07,128.01,98.58,763280,0,8163,0,752440,0,2677,5673524,4432153,6,543,1,1842.0,10,1280083,172214
"8322c6dd-f9f8-4061-bf31-a64e1ba32344",73,"Saudi Arabia",Asia,2.1,1.2,116.01,97.74,750356,98,9039,1,733365,219,7952,41476336,35750887,48,3955,1,253.0,141,1160148,20988
"79b25104-b717-4a88-a9f8-deb868ddf519",74,"Sri Lanka",Asia,3.06,2.49,29.53,96.4,660890,93,16459,5,637119,31,7312,6368159,21568470,33,1310,3,763.0,0,295253,30641
"3a31a649-913a-4832-a625-b9ea1fc659c6",75,Paraguay,"South America",8.89,2.88,35.46,96.39,647836,0,18663,0,624457,0,4716,2582692,7283977,11,390,3,2562.0,38,354572,88940
"d6f78add-5ba5-4a09-9207-f7ec95db5e61",76,Kuwait,Asia,14.34,0.41,177.26,99.24,628130,0,2553,0,623331,0,2246,7763313,4379727,7,1716,1,583.0,10,1772556,143418
