,id,rank,Country,Continent,Infection_Risk,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,TotalTests,Population,one_Caseevery_X_ppl,one_Deathevery_X_ppl,one_Testevery_X_ppl,Deaths_1M_pop,Serious_Critical,Tests_1M_Pop,TotCases_1M_Pop
28,d2c89dbe-ab3b-4178-8d7d-1c908d7471c8,27,South Africa,Africa,6.13,2.69,39.15,96.91,3712263,1497,99965,26,3597725,734,14573,23727513,60599146,16,606,3,1650.0,546,391549,61259.0
29,3648e894-a54c-41c8-8abf-4994e7b2b79c,28,Austria,Europe,40.66,0.42,1907.7,87.95,3698511,33508,15665,46,3252752,43304,430094,173506959,9095099,2,581,0,1722.0,238,19076973,406649.0
30,f0e6ea86-a22d-405c-a0c7-63dbb2a2c03f,29,Philippines,Asia,3.28,1.6,25.72,97.22,3676665,437,58884,53,3574295,1045,43486,28831064,112098000,30,1904,4,525.0,289,257195,32799.0
31,c5905947-ac1b-4bbb-8985-e794bb6ab6c3,30,Peru,South America,10.5,5.98,84.29,0.0,3544338,0,212050,0,3332288,0,0,28459124,33764448,10,159,1,6280.0,509,842872,104972.0
32,9fb86a08-d197-4fcb-b08a-bebbe5f6c642,31,Portugal,Europe,34.83,0.61,391.65,0.0,3534003,0,21545,0,3512458,0,0,39734174,10145390,3,471,0,2124.0,64,3916476,348336.0
33,b012c316-0e20-4bfe-9ce2-edf9dcca2f0b,32,Thailand,Asia,5.0,0.71,24.64,92.15,3503264,26234,24718,67,3228284,20013,250262,17270775,70102306,20,2836,4,353.0,1496,246365,49974.0
34,4a532c8d-46b7-45ea-b6a4-eb4966239356,33,Chile,South America,17.75,1.64,181.33,84.24,3443018,7448,56298,76,2900516,33443,486204,35177165,19399420,6,345,1,2902.0,701,1813310,177480.0
35,e25f14b6-e3e8-4944-bef8-81d695a18188,34,Canada,North America,8.98,1.09,154.47,94.95,3439273,2754,37420,9,3265641,1921,136212,59181662,38313306,11,1024,1,977.0,409,1544676,89767.0
36,1653a805-d080-4261-8e3f-dd2c7fef64bf,35,Switzerland,Europe,38.84,0.4,233.84,79.65,3403549,0,13646,0,2710844,0,679059,20493186,8763866,3,642,0,1557.0,150,2338373,388362.0
37,311c2c2c-2484-42eb-a30b-e163a001a74e,36,Greece,Europe,28.22,0.93,703.53,90.2,2916892,16558,27216,56,2631136,22647,258540,72710891,10335176,4,380,0,2633.0,341,7035283,282230.0
38,9aa3efef-70e8-4d44-bb06-5113e05a298a,37,Denmark,Europe,49.65,0.19,2174.11,96.69,2893398,4110,5583,41,2797596,6694,90219,126694250,5827411,2,1044,0,958.0,25,21741087,496515.0
39,4a525969-421a-4975-ae32-bfca080f31ec,38,Romania,Europe,14.93,2.29,115.44,91.82,2838849,3100,64895,22,2606660,0,167294,21951388,19016187,7,293,1,3413.0,399,1154353,149286.0
40,1846091c-6ef4-4641-8231-afcf4a6a77b6,39,Sweden,Europe,24.31,0.73,180.08,97.51,2481736,0,18155,0,2419962,3243,43619,18382831,10207962,4,562,1,1779.0,32,1800833,243118.0
41,7d322f05-e02b-40f5-bd69-577adea222a3,40,Iraq,Asia,5.55,1.09,43.77,98.32,2317747,249,25149,4,2278726,855,13872,18285940,41779376,18,1661,2,602.0,51,437679,55476.0
42,cc09f3b8-9fd0-44ca-859c-ad9524bf9f28,41,Serbia,Europe,22.68,0.8,105.11,97.3,1967771,1693,15746,9,1914700,2578,37325,9120134,8676623,4,551,1,1815.0,39,1051116,226790.0
43,c41513ff-6514-470a-b9f1-ff13a051cad2,42,Bangladesh,Asia,1.16,1.49,8.23,96.2,1951239,65,29118,0,1877131,983,44990,13779983,167521186,86,5753,12,174.0,1264,82258,11648.0
